Main Category,Subcategory,Additional Subcategories
Graphics & Design,Logo Design,"Brand Style Guides ,Business Cards & Stationery ,Fonts & Typography"
Graphics & Design,Web & App Design,"Website Design ,App Design ,UX Design ,Landing Page Design ,Icon Design"
Programming & Tech,Website Development,"Business Websites ,E-Commerce Development ,Landing Pages ,Blogs"
Programming & Tech,Website Platforms,"WordPress ,Shopify ,Wix ,Custom ,Websites ,GoDaddy"
Digital Marketing,Search,"Search Engine Optimization (SEO),Search Engine Marketing (SEM),Local SEO,E-Commerce SEO,Video SEO"
Digital Marketing,Social,"Social Media Marketing,Paid Social Media,Influencer Marketing,Community Management"
Video & Animation, Editing & Post-Production,"Video Editing,Visual Effects,Video ArtNEW,Intro & Outro Videos,Video Templates Editing,Subtitles & Captions"
Video & Animation,Social & Marketing Videos, "Video Ads & Commercials,Social Media Videos,UGC Videos NEW,Music Videos,Slideshow Videos"
Writing & Translation,Content Writing,"Articles & Blog Posts,Content StrategyNEW,Book & eBook Writing,Website Content,Scriptwriting,Creative Writing,Podcast Writing,Speechwriting,Research & Summaries,Custom Writing PromptsNEW"
Writing & Translation,Editing & Critique,"Proofreading & Editing ,AI Content Editing,Book Editing,Beta Reading, Writing Advice"